id,verdict,val1,val2,val3,val4,val5,val6,val7,val8,val9,val10,val11,val12,val13,val14,val15,val16,val17,val18,val19,val20,val21,val22,val23,val24,val25,val26,val27,val28,val29,val30,val31,val32,val33,val34,val35,val36,val37,val38,val39,val40,val41,val42,val43,val44,val45,val46,val47,val48,val49,val50,val51,val52,val53,val54,val55,val56,val57,val58,val59,val60,val61,val62,val63,val64,val65,val66,val67,val68,val69,val70,val71
71856405,0,0,939.12,397.46,343.56,115.96,72.72,713.81,910.16,266.57,149.1,186.33,199.63,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,535,164.32,740.57,1116,0,214,80.25,180.96,192.78,0,1495.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16,69.4293548387097,401.88,64.9795610016786,4222.34334797087,10.7,411.106666666667,1484.7,390.863678630059,152774.415272222
75085501,0,0,1050.91,813.99,1085.37,472.11,530.12,1631.63,109.6,2627.46,9933.77,103.49,497.35,1646.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456.58,985.36,1076,430.11,947.71,924.75,204.75,2768.97,2636.56,229.27,630.22,3505.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.7425,2462.72,495.352324007655,245373.924899784,35.02,493.206666666667,2508.84,606.21017654129,367490.778142222
75780289,1,0,10318.31,9418.45,2575.7,13728.63,133.82,134.71,197.26,98.77,211.66,164.39,159.36,3453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510.92,500,969.81,314.15,325.52,406.65,408,187.86,799.4,4110.75,156.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302.940746268657,5050,781.088559724362,610099.338132279,78,620.686428571429,4110.75,983.816350309978,967894.611137245
74010769,0,0,306.96,110.27,126.48,377.82,247.55,1012.12,664.79,217.92,264.16,294.14,381.06,455.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436.35,0,927.97,0,701.92,280.9,245,287.7,366,535,778.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.436835443038,505,77.7592369301568,6046.49892796026,70.35,414.463636363636,778.26,218.40678278981,47701.522768595
90088004,0,0,4.28,58.17,0,458.95,46.53,69.96,246.17,536.76,456.74,543.13,305.11,522.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432.32,89,0,67.32,250.29,392.7,484.8,800.7,366,524.19,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04,54.1316666666667,324.36,58.5642971774518,3429.77690388889,26.5,355.210909090909,800.7,221.905687519989,49242.134153719
43551724,0,0,416.85,891.98,381.47,707.61,909.63,10619.62,663.96,696.91,411.52,647.56,704.89,300.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,912.08,798.72,687.75,1727.1,820.05,695.25,0,580,470.8,702.96,561.75,490.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35,156.330540540541,3066.62,478.057927514195,228539.382059167,470.8,767.916363636364,1727.1,330.756446216925,109399.82671405
68131233,0,0,213.66,232.39,321.13,207.28,256.29,109.83,225.56,405.81,504.12,109.28,164.5,111.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443.38,344.96,303.67,81.6,251.46,211.25,423.34,294.8,184.8,225.9,246.98,282.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.7126865671642,121.54,24.6357237022702,606.918882334595,63.86,143.244347826087,282.48,66.2530144236988,4389.46192022684
46775121,0,0,1257.64,1326.62,2955.67,1068.24,1859.98,1645.77,2138.67,744.32,1030.18,1265.64,1863.28,1631.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1050,1050,1303.56,1332.15,2010,1348.32,1795,1126.08,1122,1050,1224,1070,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.1414409221902,1751,109.176554463903,11919.5200446096,735,1100.074,1348.32,150.832844071398,22750.5468506667
71339428,0,0,136,288.39,135.15,475.3,292.35,125.3,624.1,397.37,278.62,653.64,12.18,254.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380.92,455,0,262.14,113.42,646.88,341.96,227.46,365.16,0,598.35,708.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.3196551724138,337.84,55.9574226060197,3131.23314470868,61.8,372.693636363636,708.34,195.336879461319,38156.4964776859
58307978,0,0,676.35,564.77,416.72,177.82,266.83,241.83,744.67,1811.06,1004.89,1445.88,632.97,461.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270.89,181.26,295.93,771.47,1912.09,1048.56,1693.32,356.16,429.52,661.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,85.3081818181818,1515,173.762574107115,30193.4321603306,181.26,762.118,1912.09,579.067561408857,335319.240676
19692826,0,2,559.17,785.83,4192.28,740.47,159,233.46,5697.32,388.16,1517.09,726.14,1277.23,1313.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,755.16,0,4564.5,674,219.3,917.28,6079.84,0,1641.94,673.03,2687.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206.940117647059,5055.12,687.874565762057,473171.418222339,6.12,1300.92714285714,5401.76,1542.40787169852,2379022.04267755
64460984,0,0,362.61,429.5,347.99,577.74,118.89,248.58,314.67,515.92,59.79,288.86,546.67,377.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376,644.7,120.84,220.42,0,583,268.66,58.58,300.3,700.35,339.66,185.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.24,76.1552727272727,288.86,60.671892424583,3681.07853038017,58.58,345.305454545455,700.35,203.310132169981,41335.0098429752
36560668,0,1,2398.83,2161.2,1383.39,2604.19,3712.67,3180.39,2795.36,5858.7,2668.02,3641.43,2704.45,2893.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040,1744.1,1101.36,5084.06,3150,2941.05,3191.55,3759.02,2100,1590,5651.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.1143564356436,1545.44,167.726975880304,28132.3384379522,500,1650.11684210526,2941.05,624.358939258607,389824.085032133
83467452,0,0,689.24,3960.43,581.56,143.2,2165.08,818.77,1476.26,2189.12,6693.45,1422.9,874.92,1299.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1743.03,1598,364,1351.35,1130,519.14,1655.72,5521.25,3875.37,119.78,1908,80.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216.642912621359,2888.08,362.852165926745,131661.69431773,80.58,1528.17076923077,3875.37,1166.07541471686,1359731.8728071
69312397,0,0,2439.6,1689.27,404.04,1348.9,3861.93,268.58,1404.1,161.16,2387.87,5441.55,1476.28,1228.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1505.86,0,808.55,2159,2402.15,1006,491.7,1739,6075,1378.16,1657.27,1238.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,356.639516129032,4558,650.17690078988,422730.002320734,104,1076.89315789474,3210,838.707756316714,703430.700505817
11800562,0,0,131.57,15.87,93.54,276.9,126.99,184.82,270.95,64.9,190.31,287.68,56.65,680.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311.37,295,312.44,303.68,0,575.22,0,286.84,288.75,282.8,289.68,265.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0128235294118,171.2,36.4554329239791,1328.99858967474,265.2,291.907272727273,312.44,12.8714914661038,165.675292561984
